video_id,split,class_id,signer_id,EN,TR,frames
signer34_sample1_color,test,133,34,guest,misafir,63
signer34_sample2_color,test,61,34,retired,emekli,70
signer34_sample3_color,test,32,34,together,beraber,54
signer34_sample4_color,test,169,34,champion,sampiyon,64
signer34_sample5_color,test,77,34,show,gostermek,65
signer34_sample6_color,test,131,34,napkin,mendil,67
signer34_sample7_color,test,114,34,book,kitap,47
signer34_sample8_color,test,143,34,teacher,ogretmen,54
signer34_sample9_color,test,135,34,tap,musluk,58
signer34_sample10_color,test,194,34,scales,terazi,39
signer34_sample11_color,test,23,34,honey,bal,68
signer34_sample12_color,test,95,34,needle,igne,60
signer34_sample13_color,test,57,34,wall,duvar,66
signer34_sample14_color,test,131,34,napkin,mendil,69
signer34_sample15_color,test,47,34,minute,dakika,58
signer34_sample16_color,test,26,34,feast,bayram,54
signer34_sample17_color,test,113,34,rent,kira,42
signer34_sample18_color,test,212,34,tomorrow,yarin,46
signer34_sample19_color,test,219,34,star,yildiz,76
signer34_sample20_color,test,210,34,band-aid,yarabandi,40
signer34_sample21_color,test,142,34,wood,odun,54
signer34_sample22_color,test,44,34,friday,cuma,59
signer34_sample23_color,test,62,34,male,erkek,55
signer34_sample24_color,test,189,34,holiday,tatil,64
signer34_sample25_color,test,114,34,book,kitap,53
signer34_sample26_color,test,161,34,picnic,piknik,52
signer34_sample27_color,test,182,34,you,siz,67
signer34_sample28_color,test,123,34,lap,kucak,63
signer34_sample29_color,test,55,34,yesterday,dun,48
signer34_sample30_color,test,209,34,do,yapmak,48
signer34_sample31_color,test,86,34,no,hayir,39
signer34_sample32_color,test,32,34,together,beraber,51
signer34_sample33_color,test,146,34,nope,olmaz,58
signer34_sample34_color,test,111,34,who,kim,50
signer34_sample35_color,test,13,34,key,anahtar,64
signer34_sample36_color,test,218,34,cook,yemek_pisirmek,50
signer34_sample37_color,test,178,34,voice,ses,62
signer34_sample38_color,test,200,34,toilet,tuvalet,56
signer34_sample39_color,test,14,34,mother,anne,52
signer34_sample40_color,test,48,34,grandfather,dede,58
signer34_sample41_color,test,212,34,tomorrow,yarin,51
signer34_sample42_color,test,12,34,shopping,alisveris,62
signer34_sample43_color,test,208,34,wrong,yanlis,53
signer34_sample44_color,test,220,34,absent,yok,37
signer34_sample45_color,test,37,34,fork,catal,38
signer34_sample46_color,test,119,34,coal,komur,64
signer34_sample47_color,test,4,34,brother,agabey,74
signer34_sample48_color,test,179,34,love,sevmek,58
signer34_sample49_color,test,168,34,tuesday,sali,59
signer34_sample50_color,test,109,34,belt,kemer,48
signer34_sample51_color,test,120,34,dog,kopek,38
