2023-03-16 14:17:00,315 INFO    MainThread:1221557 [wandb_setup.py:_flush():68] Configure stats pid to 1221557
2023-03-16 14:17:00,316 INFO    MainThread:1221557 [wandb_setup.py:_flush():68] Loading settings from /home/myuser1/.config/wandb/settings
2023-03-16 14:17:00,316 INFO    MainThread:1221557 [wandb_setup.py:_flush():68] Loading settings from /home/myuser1/Desktop/sign-language-summer-research/experiments/seven_sees/wandb/settings
2023-03-16 14:17:00,316 INFO    MainThread:1221557 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-16 14:17:00,316 INFO    MainThread:1221557 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiments/seven_sees/train_one_neuron_head.py', 'program': 'train_one_neuron_head.py'}
2023-03-16 14:17:00,316 INFO    MainThread:1221557 [wandb_init.py:_log_setup():476] Logging user logs to /home/myuser1/Desktop/sign-language-summer-research/experiments/seven_sees/wandb/run-20230316_141700-2jpqhxmo/logs/debug.log
2023-03-16 14:17:00,317 INFO    MainThread:1221557 [wandb_init.py:_log_setup():477] Logging internal logs to /home/myuser1/Desktop/sign-language-summer-research/experiments/seven_sees/wandb/run-20230316_141700-2jpqhxmo/logs/debug-internal.log
2023-03-16 14:17:00,317 INFO    MainThread:1221557 [wandb_init.py:init():516] calling init triggers
2023-03-16 14:17:00,317 INFO    MainThread:1221557 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-03-16 14:17:00,317 INFO    MainThread:1221557 [wandb_init.py:init():569] starting backend
2023-03-16 14:17:00,317 INFO    MainThread:1221557 [wandb_init.py:init():573] setting up manager
2023-03-16 14:17:00,328 INFO    MainThread:1221557 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-16 14:17:00,338 INFO    MainThread:1221557 [wandb_init.py:init():580] backend started and connected
2023-03-16 14:17:00,348 INFO    MainThread:1221557 [wandb_init.py:init():658] updated telemetry
2023-03-16 14:17:00,382 INFO    MainThread:1221557 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-16 14:17:01,104 INFO    MainThread:1221557 [wandb_run.py:_on_init():2000] communicating current version
2023-03-16 14:17:01,182 INFO    MainThread:1221557 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-16 14:17:01,182 INFO    MainThread:1221557 [wandb_init.py:init():728] starting run threads in backend
2023-03-16 14:17:03,576 INFO    MainThread:1221557 [wandb_run.py:_console_start():1980] atexit reg
2023-03-16 14:17:03,576 INFO    MainThread:1221557 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-16 14:17:03,576 INFO    MainThread:1221557 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-16 14:17:03,576 INFO    MainThread:1221557 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-16 14:17:03,577 INFO    MainThread:1221557 [wandb_init.py:init():765] run started, returning control to user process
