
Evaluating top_k_accuracy...
top1_acc: 0.7791, top5_acc: 0.938
Epoch [1][5/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][10/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][15/1780], lr: 0.00000e+00, loss: 5.2452e-07
Epoch [1][20/1780], lr: 0.00000e+00, loss: 6.372e-05
Epoch [1][25/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][30/1780], lr: 0.00000e+00, loss: 0.0012641
Epoch [1][35/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][40/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][45/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][50/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][55/1780], lr: 0.00000e+00, loss: 0.011416
Epoch [1][60/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][65/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][70/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][75/1780], lr: 0.00000e+00, loss: 1.2636e-06
Epoch [1][80/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][85/1780], lr: 0.00000e+00, loss: 0.040242
Epoch [1][90/1780], lr: 0.00000e+00, loss: 3.0994e-07
Epoch [1][95/1780], lr: 0.00000e+00, loss: 0.00028705
Epoch [1][100/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][105/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][110/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][115/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][120/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][125/1780], lr: 0.00000e+00, loss: 8.0584e-06
Epoch [1][130/1780], lr: 0.00000e+00, loss: 8.9244e-05
Epoch [1][135/1780], lr: 0.00000e+00, loss: 3.0994e-06
Epoch [1][140/1780], lr: 0.00000e+00, loss: 5.3882e-06
Epoch [1][145/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][150/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][155/1780], lr: 0.00000e+00, loss: 3.0994e-07
Epoch [1][160/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][165/1780], lr: 0.00000e+00, loss: 8.779e-05
Epoch [1][170/1780], lr: 0.00000e+00, loss: 6.41e-05
Epoch [1][175/1780], lr: 0.00000e+00, loss: 0.015298
Epoch [1][180/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][185/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][190/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][195/1780], lr: 0.00000e+00, loss: 0.050895
Epoch [1][200/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][205/1780], lr: 0.00000e+00, loss: 7.5339e-06
Epoch [1][210/1780], lr: 0.00000e+00, loss: 0.3957
Epoch [1][215/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][220/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][225/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][230/1780], lr: 0.00000e+00, loss: 0.27129
Epoch [1][235/1780], lr: 0.00000e+00, loss: 0.00088956
Epoch [1][240/1780], lr: 0.00000e+00, loss: 5.9605e-07
Epoch [1][245/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][250/1780], lr: 0.00000e+00, loss: 0.00011963
Epoch [1][255/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][260/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][265/1780], lr: 0.00000e+00, loss: 0.024854
Epoch [1][270/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][275/1780], lr: 0.00000e+00, loss: 9.1074e-06
Epoch [1][280/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][285/1780], lr: 0.00000e+00, loss: 0.00070621
Epoch [1][290/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][295/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][300/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][305/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][310/1780], lr: 0.00000e+00, loss: 4.5342e-05
Epoch [1][315/1780], lr: 0.00000e+00, loss: 4.5986e-05
Epoch [1][320/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][325/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][330/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][335/1780], lr: 0.00000e+00, loss: 0.00047068
Epoch [1][340/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][345/1780], lr: 0.00000e+00, loss: 0.42311
Epoch [1][350/1780], lr: 0.00000e+00, loss: 0.00017535
Epoch [1][355/1780], lr: 0.00000e+00, loss: 6.6757e-07
Epoch [1][360/1780], lr: 0.00000e+00, loss: 0.74233
Epoch [1][365/1780], lr: 0.00000e+00, loss: 1.4305e-06
Epoch [1][370/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][375/1780], lr: 0.00000e+00, loss: 1.08e-05
Epoch [1][380/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][385/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][390/1780], lr: 0.00000e+00, loss: 0.010285
Epoch [1][395/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][400/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][405/1780], lr: 0.00000e+00, loss: 5.2452e-07
Epoch [1][410/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][415/1780], lr: 0.00000e+00, loss: 1.7404e-06
Epoch [1][420/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][425/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][430/1780], lr: 0.00000e+00, loss: 0.00011536
Epoch [1][435/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][440/1780], lr: 0.00000e+00, loss: 8.3446e-07
Epoch [1][445/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][450/1780], lr: 0.00000e+00, loss: 0.001485
Epoch [1][455/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][460/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][465/1780], lr: 0.00000e+00, loss: 7.1526e-08
