
Evaluating top_k_accuracy...
top1_acc: 0.8178, top5_acc: 0.9341
Epoch [1][5/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][10/1780], lr: 0.00000e+00, loss: 3.8147e-07
Epoch [1][15/1780], lr: 0.00000e+00, loss: 4.0531e-07
Epoch [1][20/1780], lr: 0.00000e+00, loss: 7.2478e-06
Epoch [1][25/1780], lr: 0.00000e+00, loss: 5.7696e-06
Epoch [1][30/1780], lr: 0.00000e+00, loss: 0.24347
Epoch [1][35/1780], lr: 0.00000e+00, loss: 1.3113e-06
Epoch [1][40/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][45/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][50/1780], lr: 0.00000e+00, loss: 0.40221
Epoch [1][55/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][60/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][65/1780], lr: 0.00000e+00, loss: 8.3446e-07
Epoch [1][70/1780], lr: 0.00000e+00, loss: 0.056437
Epoch [1][75/1780], lr: 0.00000e+00, loss: 0.0019678
Epoch [1][80/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][85/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][90/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][95/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][100/1780], lr: 0.00000e+00, loss: 5.722e-06
Epoch [1][105/1780], lr: 0.00000e+00, loss: 0.00010009
Epoch [1][110/1780], lr: 0.00000e+00, loss: 5.7665e-05
Epoch [1][115/1780], lr: 0.00000e+00, loss: 2.2888e-06
Epoch [1][120/1780], lr: 0.00000e+00, loss: 0.12487
Epoch [1][125/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][130/1780], lr: 0.00000e+00, loss: 1.7881e-06
Epoch [1][135/1780], lr: 0.00000e+00, loss: 0.00026716
Epoch [1][140/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][145/1780], lr: 0.00000e+00, loss: 0.091008
Epoch [1][150/1780], lr: 0.00000e+00, loss: 0.00055726
Epoch [1][155/1780], lr: 0.00000e+00, loss: 0.0037096
Epoch [1][160/1780], lr: 0.00000e+00, loss: 5.0068e-07
Epoch [1][165/1780], lr: 0.00000e+00, loss: 0.3692
Epoch [1][170/1780], lr: 0.00000e+00, loss: 6.0625e-05
Epoch [1][175/1780], lr: 0.00000e+00, loss: 0.00018202
Epoch [1][180/1780], lr: 0.00000e+00, loss: 0.0002208
Epoch [1][185/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][190/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][195/1780], lr: 0.00000e+00, loss: 1.6212e-06
Epoch [1][200/1780], lr: 0.00000e+00, loss: 1.3351e-06
Epoch [1][205/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][210/1780], lr: 0.00000e+00, loss: 1.4067e-06
Epoch [1][215/1780], lr: 0.00000e+00, loss: 0.022136
Epoch [1][220/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][225/1780], lr: 0.00000e+00, loss: 0.066209
Epoch [1][230/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][235/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][240/1780], lr: 0.00000e+00, loss: 0.0014025
Epoch [1][245/1780], lr: 0.00000e+00, loss: 0.21516
Epoch [1][250/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][255/1780], lr: 0.00000e+00, loss: 0.0029707
Epoch [1][260/1780], lr: 0.00000e+00, loss: 9.6796e-06
Epoch [1][265/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][270/1780], lr: 0.00000e+00, loss: 5.9605e-07
Epoch [1][275/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][280/1780], lr: 0.00000e+00, loss: 4.0531e-07
Epoch [1][285/1780], lr: 0.00000e+00, loss: 5.722e-07
Epoch [1][290/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][295/1780], lr: 0.00000e+00, loss: 8.5831e-07
Epoch [1][300/1780], lr: 0.00000e+00, loss: 0.041436
Epoch [1][305/1780], lr: 0.00000e+00, loss: 0.00019802
Epoch [1][310/1780], lr: 0.00000e+00, loss: 2.5987e-06
Epoch [1][315/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][320/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][325/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][330/1780], lr: 0.00000e+00, loss: 4.7922e-06
Epoch [1][335/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][340/1780], lr: 0.00000e+00, loss: 0.58548
Epoch [1][345/1780], lr: 0.00000e+00, loss: 3.3379e-07
