
Evaluating top_k_accuracy...
top1_acc: 0.8217, top5_acc: 0.9341
Epoch [1][5/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][10/1780], lr: 0.00000e+00, loss: 5.5074e-06
Epoch [1][15/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][20/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][25/1780], lr: 0.00000e+00, loss: 0.23747
Epoch [1][30/1780], lr: 0.00000e+00, loss: 0.01671
Epoch [1][35/1780], lr: 0.00000e+00, loss: 3.2425e-06
Epoch [1][40/1780], lr: 0.00000e+00, loss: 2.861e-07
Epoch [1][45/1780], lr: 0.00000e+00, loss: 1.0466e-05
Epoch [1][50/1780], lr: 0.00000e+00, loss: 0.05366
Epoch [1][55/1780], lr: 0.00000e+00, loss: 0.00033993
Epoch [1][60/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][65/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][70/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][75/1780], lr: 0.00000e+00, loss: 0.11302
Epoch [1][80/1780], lr: 0.00000e+00, loss: 4.5538e-06
Epoch [1][85/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][90/1780], lr: 0.00000e+00, loss: 3.6955e-06
Epoch [1][95/1780], lr: 0.00000e+00, loss: 1.1444e-06
Epoch [1][100/1780], lr: 0.00000e+00, loss: 0.00016168
Epoch [1][105/1780], lr: 0.00000e+00, loss: 1.7475e-05
Epoch [1][110/1780], lr: 0.00000e+00, loss: 4.6014e-06
Epoch [1][115/1780], lr: 0.00000e+00, loss: 2.4985e-05
Epoch [1][120/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][125/1780], lr: 0.00000e+00, loss: 7.7185e-05
Epoch [1][130/1780], lr: 0.00000e+00, loss: 0.0016242
Epoch [1][135/1780], lr: 0.00000e+00, loss: 0.020298
Epoch [1][140/1780], lr: 0.00000e+00, loss: 9.2983e-07
Epoch [1][145/1780], lr: 0.00000e+00, loss: 0.0
