
Evaluating top_k_accuracy...
top1_acc: 0.8101, top5_acc: 0.9302
Epoch [1][5/1780], lr: 0.00000e+00, loss: 1.1206e-06
Epoch [1][10/1780], lr: 0.00000e+00, loss: 3.5763e-07
Epoch [1][15/1780], lr: 0.00000e+00, loss: 5.2928e-06
Epoch [1][20/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][25/1780], lr: 0.00000e+00, loss: 0.00067287
Epoch [1][30/1780], lr: 0.00000e+00, loss: 0.42492
Epoch [1][35/1780], lr: 0.00000e+00, loss: 1.9788e-05
Epoch [1][40/1780], lr: 0.00000e+00, loss: 0.038572
Epoch [1][45/1780], lr: 0.00000e+00, loss: 0.00021104
Epoch [1][50/1780], lr: 0.00000e+00, loss: 5.6045e-05
Epoch [1][55/1780], lr: 0.00000e+00, loss: 1.2922e-05
Epoch [1][60/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][65/1780], lr: 0.00000e+00, loss: 1.5926e-05
Epoch [1][70/1780], lr: 0.00000e+00, loss: 0.0042588
Epoch [1][75/1780], lr: 0.00000e+00, loss: 0.00027883
Epoch [1][80/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][85/1780], lr: 0.00000e+00, loss: 0.0017319
Epoch [1][90/1780], lr: 0.00000e+00, loss: 0.0011026
Epoch [1][95/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][100/1780], lr: 0.00000e+00, loss: 3.5737e-05
Epoch [1][105/1780], lr: 0.00000e+00, loss: 0.98038
Epoch [1][110/1780], lr: 0.00000e+00, loss: 0.0023029
Epoch [1][115/1780], lr: 0.00000e+00, loss: 0.67365
Epoch [1][120/1780], lr: 0.00000e+00, loss: 0.0018533
Epoch [1][125/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][130/1780], lr: 0.00000e+00, loss: 4.9016e-05
Epoch [1][135/1780], lr: 0.00000e+00, loss: 0.00018183
Epoch [1][140/1780], lr: 0.00000e+00, loss: 0.74359
Epoch [1][145/1780], lr: 0.00000e+00, loss: 0.55233
Epoch [1][150/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][155/1780], lr: 0.00000e+00, loss: 0.0014525
Epoch [1][160/1780], lr: 0.00000e+00, loss: 0.21047
Epoch [1][165/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][170/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][175/1780], lr: 0.00000e+00, loss: 0.0027741
Epoch [1][180/1780], lr: 0.00000e+00, loss: 1.5902e-05
Epoch [1][185/1780], lr: 0.00000e+00, loss: 9.0121e-06
Epoch [1][190/1780], lr: 0.00000e+00, loss: 0.087676
Epoch [1][195/1780], lr: 0.00000e+00, loss: 0.00013238
Epoch [1][200/1780], lr: 0.00000e+00, loss: 5.3138e-05
Epoch [1][205/1780], lr: 0.00000e+00, loss: 0.0028919
Epoch [1][210/1780], lr: 0.00000e+00, loss: 0.00037344
Epoch [1][215/1780], lr: 0.00000e+00, loss: 0.00080841
Epoch [1][220/1780], lr: 0.00000e+00, loss: 0.00025537
Epoch [1][225/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][230/1780], lr: 0.00000e+00, loss: 0.14759
Epoch [1][235/1780], lr: 0.00000e+00, loss: 0.47971
Epoch [1][240/1780], lr: 0.00000e+00, loss: 1.1957
Epoch [1][245/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][250/1780], lr: 0.00000e+00, loss: 1.4901e-05
Epoch [1][255/1780], lr: 0.00000e+00, loss: 0.00032487
Epoch [1][260/1780], lr: 0.00000e+00, loss: 6.997e-05
Epoch [1][265/1780], lr: 0.00000e+00, loss: 4.4345e-06
Epoch [1][270/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][275/1780], lr: 0.00000e+00, loss: 3.8147e-07
Epoch [1][280/1780], lr: 0.00000e+00, loss: 0.064947
Epoch [1][285/1780], lr: 0.00000e+00, loss: 0.00025825
Epoch [1][290/1780], lr: 0.00000e+00, loss: 0.00037201
Epoch [1][295/1780], lr: 0.00000e+00, loss: 0.012411
Epoch [1][300/1780], lr: 0.00000e+00, loss: 0.10849
Epoch [1][305/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][310/1780], lr: 0.00000e+00, loss: 0.33795
Epoch [1][315/1780], lr: 0.00000e+00, loss: 0.030273
Epoch [1][320/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][325/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][330/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][335/1780], lr: 0.00000e+00, loss: 0.0016396
Epoch [1][340/1780], lr: 0.00000e+00, loss: 0.34481
Epoch [1][345/1780], lr: 0.00000e+00, loss: 6.9141e-07
Epoch [1][350/1780], lr: 0.00000e+00, loss: 2.0504e-06
Epoch [1][355/1780], lr: 0.00000e+00, loss: 4.5776e-06
Epoch [1][360/1780], lr: 0.00000e+00, loss: 0.0006161
Epoch [1][365/1780], lr: 0.00000e+00, loss: 1.6451e-06
Epoch [1][370/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][375/1780], lr: 0.00000e+00, loss: 0.012334
Epoch [1][380/1780], lr: 0.00000e+00, loss: 0.00019331
Epoch [1][385/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][390/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][395/1780], lr: 0.00000e+00, loss: 8.1062e-07
Epoch [1][400/1780], lr: 0.00000e+00, loss: 0.16723
Epoch [1][405/1780], lr: 0.00000e+00, loss: 0.0031976
