
Evaluating top_k_accuracy...
top1_acc: 0.7907, top5_acc: 0.938
Epoch [1][5/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][10/1780], lr: 0.00000e+00, loss: 0.00082746
Epoch [1][15/1780], lr: 0.00000e+00, loss: 6.5245e-05
Epoch [1][20/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][25/1780], lr: 0.00000e+00, loss: 1.7404e-06
Epoch [1][30/1780], lr: 0.00000e+00, loss: 3.0994e-06
Epoch [1][35/1780], lr: 0.00000e+00, loss: 0.0049148
Epoch [1][40/1780], lr: 0.00000e+00, loss: 6.2886e-05
Epoch [1][45/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][50/1780], lr: 0.00000e+00, loss: 0.66257
Epoch [1][55/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][60/1780], lr: 0.00000e+00, loss: 0.13283
Epoch [1][65/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][70/1780], lr: 0.00000e+00, loss: 0.24055
Epoch [1][75/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][80/1780], lr: 0.00000e+00, loss: 0.0019997
Epoch [1][85/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][90/1780], lr: 0.00000e+00, loss: 2.4319e-06
Epoch [1][95/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][100/1780], lr: 0.00000e+00, loss: 0.017701
Epoch [1][105/1780], lr: 0.00000e+00, loss: 9.2983e-07
Epoch [1][110/1780], lr: 0.00000e+00, loss: 9.7751e-07
Epoch [1][115/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][120/1780], lr: 0.00000e+00, loss: 0.00020922
Epoch [1][125/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][130/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][135/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][140/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][145/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][150/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][155/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][160/1780], lr: 0.00000e+00, loss: 0.18287
Epoch [1][165/1780], lr: 0.00000e+00, loss: 2.837e-05
Epoch [1][170/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][175/1780], lr: 0.00000e+00, loss: 0.0006901
Epoch [1][180/1780], lr: 0.00000e+00, loss: 0.066748
Epoch [1][185/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][190/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][195/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][200/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][205/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][210/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][215/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][220/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][225/1780], lr: 0.00000e+00, loss: 0.00034424
Epoch [1][230/1780], lr: 0.00000e+00, loss: 4.2219e-05
Epoch [1][235/1780], lr: 0.00000e+00, loss: 4.6491e-06
Epoch [1][240/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][245/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][250/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][255/1780], lr: 0.00000e+00, loss: 0.0074079
Epoch [1][260/1780], lr: 0.00000e+00, loss: 5.0306e-06
Epoch [1][265/1780], lr: 0.00000e+00, loss: 1.8477e-05
Epoch [1][270/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][275/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][280/1780], lr: 0.00000e+00, loss: 3.5763e-07
Epoch [1][285/1780], lr: 0.00000e+00, loss: 0.77351
Epoch [1][290/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][295/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][300/1780], lr: 0.00000e+00, loss: 4.0531e-07
Epoch [1][305/1780], lr: 0.00000e+00, loss: 0.00018891
Epoch [1][310/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][315/1780], lr: 0.00000e+00, loss: 2.0027e-06
Epoch [1][320/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][325/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][330/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][335/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][340/1780], lr: 0.00000e+00, loss: 4.5866e-05
Epoch [1][345/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][350/1780], lr: 0.00000e+00, loss: 1.8596e-05
Epoch [1][355/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][360/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][365/1780], lr: 0.00000e+00, loss: 3.7285e-05
Epoch [1][370/1780], lr: 0.00000e+00, loss: 0.0030931
Epoch [1][375/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][380/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][385/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][390/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][395/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][400/1780], lr: 0.00000e+00, loss: 3.5286e-06
Epoch [1][405/1780], lr: 0.00000e+00, loss: 0.0014367
Epoch [1][410/1780], lr: 0.00000e+00, loss: 0.00025531
Epoch [1][415/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][420/1780], lr: 0.00000e+00, loss: 0.0080832
Epoch [1][425/1780], lr: 0.00000e+00, loss: 0.00072153
Epoch [1][430/1780], lr: 0.00000e+00, loss: 0.087508
Epoch [1][435/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][440/1780], lr: 0.00000e+00, loss: 8.4001e-05
Epoch [1][445/1780], lr: 0.00000e+00, loss: 7.0094e-06
Epoch [1][450/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][455/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][460/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][465/1780], lr: 0.00000e+00, loss: 7.1525e-07
Epoch [1][470/1780], lr: 0.00000e+00, loss: 0.00052827
Epoch [1][475/1780], lr: 0.00000e+00, loss: 0.0020361
Epoch [1][480/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][490/1780], lr: 0.00000e+00, loss: 4.2915e-07
Epoch [1][495/1780], lr: 0.00000e+00, loss: 0.0
